PLAYER_NAME,PLAYER_ID,POS
Nathaniel Day,166,G
Kalle Kangas,167,LD
Ty Halaburda,168,C
Tommaso De Luca,169,C
Konstantin Volochko,170,RD
Matt Copponi,171,C
Jordan Tourigny,172,RD
Carsen Musser,173,G
Teddy Townsend,174,C
Chris Able,175,RD
Ryan Koering,176,LD
Kristan Kostadinski,177,LD
Gavyn Thoreson,178,RW
Jeremy Hanzel,179,LD
Adam Cedzo,180,LW
Axel Hurtig,181,LD
Ryan Conmy,182,RW
Juha Jatkola,183,G
Ethan Hay,184,C
Dominik Petr,185,C
Hugo Hell,186,LD
Stanislav Berezhnoy,187,G
Bogdan Konyushkov,188,RD
Rasmus Larsson,189,LD
Hannes Hellberg,190,RW
Alexander Weiermair,191,C
Saige Weinstein,192,LD
Zachary Sharp,193,LD
Samu Bau,194,C
Anton MacDonald,195,LD
Ondrej Molnar,196,LW
Wiliam Vote,197,RW
Joe Palodichuk,198,LD
Michael Deangelo,199,LW
David Klee,200,C
Charles-Alexis Legault,201,RD
Samuel Urban,202,G
Samuel Fiala,203,C
Lukas Matecha,204,G
Hunter Anderson,205,LW
Chase Pirtle,206,RW
Norwin Panocha,207,LD
Rodwin Dionicio,208,LD
Nikita Ishmnikov,209,RD
Ty Henricks,210,LW
Nils Wallstrom,211,G
Eric Pohlkamp,212,RD
Ivan Remezovsky,213,G
Antoine Keller,214,G
Christian Maro,215,RW
Filip Eriksson,216,C
Kristers Steinbergs,217,G
Luke Mittelstadt,218,LD
Luke Coughlin,219,LD
Eli Sebastian,220,C
Artyom Kashtanov,221,C
Josh Giuliani,222,RW
Nikita Nedopekin,223,C
Joey Willis,224,C
Chris Pelosi,225,C
Jiri Felcman,226,C
Florian Xhekaj,227,LW
Terrell Goldsmith,228,LD
Patrick Thomas,229,C
Ty Mueller,230,C
Vilmer Alriksson,231,LW
Hampton Slukynsky,232,G
Matthew Perkins,233,LW
Stanislav Yarovoi,234,LW
Quentin Miller,235,G
Axel Landen,236,RD
Marcel Marcel,237,LW
Sam Harris,238,LW
Melker Thelin,239,G
Jack Phelan,240,RD
Matthew Andonovski,241,LD
Mikhail Ilyin,242,C
Sutter Muzzatti,243,C
Yevgeni Volokhin,244,G
Justin Gill,245,C
Jacob Julien,246,C
Kevin Bicker,247,LW
Thomas Milic,248,G
Melvin Strahl,249,G
Arno Tiefensee,250,G
Olof Glifford,251,G
Justin Kipkie,252,LD
Vojtech Port,253,RD
Cole Brown,254,RW
Visa Vedenpaa,255,G
Rudy Guimond,256,G
Matthew Mayich,257,LD
Aiden Celebrini,258,RD
Ryan MacPherson,259,C
Cooper Foster,260,C
Yegor Yegorov,261,G
Dylan Roobreck,262,C
Warren Clark,263,RD
Noah Chadwick,264,LD
Ryan Walsh,265,C
Angus MacDonell,266,C
Jack Harvey,267,C
Oiva Keskinen,268,C
Stepan Zvyagin,269,LW
Brett Hyland,270,LW
Emmitt Finnie,271,C
Owen Beckner,272,C
Vladimir Nikitin,273,G
Dennis Good-Bogg,274,LD
Jimmy Clark,275,LW
Maros Jedlicka,276,C
Sebastian Bradshaw,277,LW
Yegor Velmakin,278,G
